message,label
Please transfer 39211 to the updated vendor account,1
Please schedule the team meeting for tomorrow,0
Reminder to review the quarterly financial report,0
Reminder about the project planning meeting,0
This is the CEO. Process a transfer of 29123 immediately,1
Please review the attached document,0
Kindly wire 24912 immediately I am currently in a meeting,1
Reminder to review the quarterly financial report,0
Hi finance team please urgently wire 21564 to the vendor account today,1
Please update vendor bank details and send 5471,1
Please review the attached document,0
Hi finance team please urgently wire 49148 to the vendor account today,1
Transfer 37459 ASAP and confirm once completed,1
Please schedule the team meeting for tomorrow,0
Please transfer 4885 to the updated vendor account,1
I need an urgent payment of 13053 sent today,1
Please schedule the team meeting for tomorrow,0
Reminder about the project planning meeting,0
Let's discuss the budget updates in today's meeting,0
Please confirm receipt of this message,0
I need an urgent payment of 41988 sent today,1
Reminder to review the quarterly financial report,0
Hi finance team please urgently wire 8026 to the vendor account today,1
Please transfer 16750 to the updated vendor account,1
Let's discuss the budget updates in today's meeting,0
Reminder about the project planning meeting,0
Confidential request: wire 47906 to the supplier today,1
Transfer 43622 ASAP and confirm once completed,1
Reminder to review the quarterly financial report,0
Please schedule the team meeting for tomorrow,0
Please confirm receipt of this message,0
Team lunch scheduled for Friday afternoon,0
Please review the attached document,0
Team lunch scheduled for Friday afternoon,0
Reminder about the project planning meeting,0
Team lunch scheduled for Friday afternoon,0
Reminder to review the quarterly financial report,0
Please schedule the team meeting for tomorrow,0
Please confirm receipt of this message,0
Transfer 41903 ASAP and confirm once completed,1
Reminder about the project planning meeting,0
Hi finance team please urgently wire 45382 to the vendor account today,1
Please schedule the team meeting for tomorrow,0
Invoice attached for last month's services,0
Team lunch scheduled for Friday afternoon,0
Hi finance team please urgently wire 45209 to the vendor account today,1
Kindly wire 5133 immediately I am currently in a meeting,1
Please review the attached document,0
Let's discuss the budget updates in today's meeting,0
I need an urgent payment of 8773 sent today,1
I need an urgent payment of 34609 sent today,1
Please transfer 46485 to the updated vendor account,1
Let's discuss the budget updates in today's meeting,0
Team lunch scheduled for Friday afternoon,0
Please transfer 42294 to the updated vendor account,1
Confidential request: wire 24869 to the supplier today,1
Reminder to review the quarterly financial report,0
Team lunch scheduled for Friday afternoon,0
Please transfer 36027 to the updated vendor account,1
Please schedule the team meeting for tomorrow,0
Please confirm receipt of this message,0
Let's discuss the budget updates in today's meeting,0
Reminder about the project planning meeting,0
Reminder about the project planning meeting,0
Hi finance team please urgently wire 2736 to the vendor account today,1
Please review the attached document,0
Invoice attached for last month's services,0
Reminder to review the quarterly financial report,0
Please update vendor bank details and send 31854,1
Please review the attached document,0
Please review the attached document,0
This is the CEO. Process a transfer of 5861 immediately,1
Please review the attached document,0
Reminder about the project planning meeting,0
Invoice attached for last month's services,0
Let's discuss the budget updates in today's meeting,0
This is the CEO. Process a transfer of 39855 immediately,1
I need an urgent payment of 27644 sent today,1
Please review the attached document,0
Please transfer 37384 to the updated vendor account,1
I need an urgent payment of 1560 sent today,1
Please transfer 32173 to the updated vendor account,1
Please confirm receipt of this message,0
Reminder about the project planning meeting,0
This is the CEO. Process a transfer of 19177 immediately,1
Confidential request: wire 45443 to the supplier today,1
Please schedule the team meeting for tomorrow,0
Please confirm receipt of this message,0
Let's discuss the budget updates in today's meeting,0
Let's discuss the budget updates in today's meeting,0
Please transfer 6667 to the updated vendor account,1
Reminder to review the quarterly financial report,0
Please update vendor bank details and send 11053,1
Please transfer 34747 to the updated vendor account,1
Invoice attached for last month's services,0
Please transfer 15341 to the updated vendor account,1
Please review the attached document,0
Please schedule the team meeting for tomorrow,0
Let's discuss the budget updates in today's meeting,0
Reminder about the project planning meeting,0
Kindly wire 18380 immediately I am currently in a meeting,1
Please confirm receipt of this message,0
Please confirm receipt of this message,0
Team lunch scheduled for Friday afternoon,0
Confidential request: wire 29903 to the supplier today,1
Please confirm receipt of this message,0
Hi finance team please urgently wire 21246 to the vendor account today,1
Let's discuss the budget updates in today's meeting,0
Invoice attached for last month's services,0
Invoice attached for last month's services,0
Kindly wire 44487 immediately I am currently in a meeting,1
Please confirm receipt of this message,0
Please update vendor bank details and send 23215,1
I need an urgent payment of 45544 sent today,1
Please transfer 5759 to the updated vendor account,1
Invoice attached for last month's services,0
Let's discuss the budget updates in today's meeting,0
This is the CEO. Process a transfer of 35722 immediately,1
Please schedule the team meeting for tomorrow,0
This is the CEO. Process a transfer of 36661 immediately,1
Confidential request: wire 48361 to the supplier today,1
Team lunch scheduled for Friday afternoon,0
Please update vendor bank details and send 3779,1
Invoice attached for last month's services,0
Invoice attached for last month's services,0
Please review the attached document,0
Invoice attached for last month's services,0
Confidential request: wire 9188 to the supplier today,1
Team lunch scheduled for Friday afternoon,0
Kindly wire 49638 immediately I am currently in a meeting,1
Team lunch scheduled for Friday afternoon,0
Reminder to review the quarterly financial report,0
Transfer 11190 ASAP and confirm once completed,1
Let's discuss the budget updates in today's meeting,0
Kindly wire 49334 immediately I am currently in a meeting,1
Kindly wire 8010 immediately I am currently in a meeting,1
Hi finance team please urgently wire 12527 to the vendor account today,1
I need an urgent payment of 36147 sent today,1
Invoice attached for last month's services,0
Kindly wire 1244 immediately I am currently in a meeting,1
Please transfer 18391 to the updated vendor account,1
I need an urgent payment of 39868 sent today,1
Invoice attached for last month's services,0
Transfer 21981 ASAP and confirm once completed,1
Let's discuss the budget updates in today's meeting,0
Please confirm receipt of this message,0
Please update vendor bank details and send 48248,1
Please transfer 48662 to the updated vendor account,1
Transfer 14944 ASAP and confirm once completed,1
Hi finance team please urgently wire 5546 to the vendor account today,1
Transfer 43661 ASAP and confirm once completed,1
Reminder about the project planning meeting,0
Please transfer 21779 to the updated vendor account,1
Invoice attached for last month's services,0
Transfer 24786 ASAP and confirm once completed,1
Team lunch scheduled for Friday afternoon,0
Invoice attached for last month's services,0
Please update vendor bank details and send 23917,1
Reminder to review the quarterly financial report,0
I need an urgent payment of 13322 sent today,1
Kindly wire 11118 immediately I am currently in a meeting,1
Reminder to review the quarterly financial report,0
I need an urgent payment of 27612 sent today,1
Please review the attached document,0
Please transfer 14666 to the updated vendor account,1
Invoice attached for last month's services,0
Please schedule the team meeting for tomorrow,0
Confidential request: wire 3477 to the supplier today,1
Please review the attached document,0
Reminder to review the quarterly financial report,0
Invoice attached for last month's services,0
Please schedule the team meeting for tomorrow,0
Please update vendor bank details and send 10142,1
Please transfer 11825 to the updated vendor account,1
Please update vendor bank details and send 22838,1
Reminder about the project planning meeting,0
Invoice attached for last month's services,0
I need an urgent payment of 31473 sent today,1
Please confirm receipt of this message,0
Invoice attached for last month's services,0
Please review the attached document,0
Please review the attached document,0
I need an urgent payment of 22541 sent today,1
Hi finance team please urgently wire 39153 to the vendor account today,1
Confidential request: wire 22695 to the supplier today,1
Hi finance team please urgently wire 7471 to the vendor account today,1
Hi finance team please urgently wire 36153 to the vendor account today,1
Let's discuss the budget updates in today's meeting,0
Reminder about the project planning meeting,0
Please transfer 12681 to the updated vendor account,1
Invoice attached for last month's services,0
Please transfer 1444 to the updated vendor account,1
Reminder to review the quarterly financial report,0
I need an urgent payment of 29623 sent today,1
Please update vendor bank details and send 10071,1
Kindly wire 23664 immediately I am currently in a meeting,1
Please schedule the team meeting for tomorrow,0
Team lunch scheduled for Friday afternoon,0
Transfer 8474 ASAP and confirm once completed,1
Let's discuss the budget updates in today's meeting,0
Reminder to review the quarterly financial report,0
Confidential request: wire 38542 to the supplier today,1
Kindly wire 47864 immediately I am currently in a meeting,1
Please review the attached document,0
Reminder about the project planning meeting,0
Reminder about the project planning meeting,0
Invoice attached for last month's services,0
Reminder about the project planning meeting,0
Confidential request: wire 13992 to the supplier today,1
Please confirm receipt of this message,0
Reminder about the project planning meeting,0
Invoice attached for last month's services,0
Hi finance team please urgently wire 10705 to the vendor account today,1
This is the CEO. Process a transfer of 41656 immediately,1
Please schedule the team meeting for tomorrow,0
I need an urgent payment of 6595 sent today,1
Team lunch scheduled for Friday afternoon,0
Kindly wire 48427 immediately I am currently in a meeting,1
Hi finance team please urgently wire 4997 to the vendor account today,1
Team lunch scheduled for Friday afternoon,0
Team lunch scheduled for Friday afternoon,0
Please schedule the team meeting for tomorrow,0
I need an urgent payment of 32995 sent today,1
Reminder about the project planning meeting,0
Kindly wire 16439 immediately I am currently in a meeting,1
Invoice attached for last month's services,0
Hi finance team please urgently wire 20126 to the vendor account today,1
Please review the attached document,0
Reminder to review the quarterly financial report,0
Reminder to review the quarterly financial report,0
Kindly wire 42838 immediately I am currently in a meeting,1
Please schedule the team meeting for tomorrow,0
Please schedule the team meeting for tomorrow,0
Kindly wire 25335 immediately I am currently in a meeting,1
Please update vendor bank details and send 46767,1
Reminder to review the quarterly financial report,0
Please schedule the team meeting for tomorrow,0
Please update vendor bank details and send 29671,1
Invoice attached for last month's services,0
Let's discuss the budget updates in today's meeting,0
Reminder about the project planning meeting,0
Transfer 33732 ASAP and confirm once completed,1
Kindly wire 15799 immediately I am currently in a meeting,1
This is the CEO. Process a transfer of 5884 immediately,1
Reminder to review the quarterly financial report,0
Hi finance team please urgently wire 30843 to the vendor account today,1
Transfer 25612 ASAP and confirm once completed,1
Team lunch scheduled for Friday afternoon,0
Please confirm receipt of this message,0
Reminder about the project planning meeting,0
Team lunch scheduled for Friday afternoon,0
Hi finance team please urgently wire 28891 to the vendor account today,1
Reminder to review the quarterly financial report,0
This is the CEO. Process a transfer of 9556 immediately,1
Team lunch scheduled for Friday afternoon,0
Please confirm receipt of this message,0
Please confirm receipt of this message,0
Please transfer 6327 to the updated vendor account,1
Confidential request: wire 48755 to the supplier today,1
Kindly wire 7550 immediately I am currently in a meeting,1
Confidential request: wire 23602 to the supplier today,1
I need an urgent payment of 32887 sent today,1
Kindly wire 10452 immediately I am currently in a meeting,1
Confidential request: wire 1942 to the supplier today,1
Hi finance team please urgently wire 4803 to the vendor account today,1
Reminder to review the quarterly financial report,0
Please update vendor bank details and send 13244,1
I need an urgent payment of 27697 sent today,1
Kindly wire 20722 immediately I am currently in a meeting,1
Let's discuss the budget updates in today's meeting,0
Team lunch scheduled for Friday afternoon,0
Confidential request: wire 4788 to the supplier today,1
Please confirm receipt of this message,0
Invoice attached for last month's services,0
Reminder to review the quarterly financial report,0
Invoice attached for last month's services,0
Reminder about the project planning meeting,0
Kindly wire 4132 immediately I am currently in a meeting,1
Please update vendor bank details and send 33948,1
Let's discuss the budget updates in today's meeting,0
Please transfer 3331 to the updated vendor account,1
Please transfer 34943 to the updated vendor account,1
I need an urgent payment of 37432 sent today,1
Please review the attached document,0
Please confirm receipt of this message,0
Reminder to review the quarterly financial report,0
Please schedule the team meeting for tomorrow,0
Hi finance team please urgently wire 45023 to the vendor account today,1
Please schedule the team meeting for tomorrow,0
Let's discuss the budget updates in today's meeting,0
Please review the attached document,0
Please schedule the team meeting for tomorrow,0
Reminder to review the quarterly financial report,0
Please schedule the team meeting for tomorrow,0
Transfer 1444 ASAP and confirm once completed,1
This is the CEO. Process a transfer of 10208 immediately,1
Hi finance team please urgently wire 37161 to the vendor account today,1
Please update vendor bank details and send 11176,1
Please review the attached document,0
Invoice attached for last month's services,0
Kindly wire 5308 immediately I am currently in a meeting,1
Confidential request: wire 32931 to the supplier today,1
Let's discuss the budget updates in today's meeting,0
Please confirm receipt of this message,0
Reminder about the project planning meeting,0
Invoice attached for last month's services,0
Please review the attached document,0
Please review the attached document,0
Team lunch scheduled for Friday afternoon,0
Please confirm receipt of this message,0
Transfer 14068 ASAP and confirm once completed,1
Reminder about the project planning meeting,0
Team lunch scheduled for Friday afternoon,0
Team lunch scheduled for Friday afternoon,0
Kindly wire 8071 immediately I am currently in a meeting,1
This is the CEO. Process a transfer of 15380 immediately,1
Kindly wire 10093 immediately I am currently in a meeting,1
Confidential request: wire 20524 to the supplier today,1
Reminder to review the quarterly financial report,0
Transfer 46711 ASAP and confirm once completed,1
Please update vendor bank details and send 33001,1
Hi finance team please urgently wire 40061 to the vendor account today,1
I need an urgent payment of 30399 sent today,1
Please confirm receipt of this message,0
This is the CEO. Process a transfer of 11744 immediately,1
Please schedule the team meeting for tomorrow,0
Transfer 11332 ASAP and confirm once completed,1
Please confirm receipt of this message,0
Please update vendor bank details and send 8600,1
Please schedule the team meeting for tomorrow,0
Hi finance team please urgently wire 13878 to the vendor account today,1
Please transfer 24816 to the updated vendor account,1
Transfer 2773 ASAP and confirm once completed,1
Confidential request: wire 33992 to the supplier today,1
Let's discuss the budget updates in today's meeting,0
Invoice attached for last month's services,0
Please confirm receipt of this message,0
Invoice attached for last month's services,0
Please update vendor bank details and send 43704,1
Let's discuss the budget updates in today's meeting,0
Please confirm receipt of this message,0
Please update vendor bank details and send 48739,1
Hi finance team please urgently wire 12948 to the vendor account today,1
Invoice attached for last month's services,0
Team lunch scheduled for Friday afternoon,0
Team lunch scheduled for Friday afternoon,0
Reminder about the project planning meeting,0
Reminder to review the quarterly financial report,0
Please schedule the team meeting for tomorrow,0
Please confirm receipt of this message,0
Transfer 48799 ASAP and confirm once completed,1
Reminder to review the quarterly financial report,0
Team lunch scheduled for Friday afternoon,0
Invoice attached for last month's services,0
Confidential request: wire 10823 to the supplier today,1
Invoice attached for last month's services,0
Kindly wire 15597 immediately I am currently in a meeting,1
Confidential request: wire 25930 to the supplier today,1
Team lunch scheduled for Friday afternoon,0
Please transfer 8431 to the updated vendor account,1
Reminder to review the quarterly financial report,0
Kindly wire 11749 immediately I am currently in a meeting,1
Please update vendor bank details and send 24461,1
Team lunch scheduled for Friday afternoon,0
This is the CEO. Process a transfer of 11128 immediately,1
Please confirm receipt of this message,0
Invoice attached for last month's services,0
Reminder to review the quarterly financial report,0
Hi finance team please urgently wire 30466 to the vendor account today,1
Invoice attached for last month's services,0
I need an urgent payment of 17430 sent today,1
Kindly wire 43536 immediately I am currently in a meeting,1
Please transfer 21415 to the updated vendor account,1
I need an urgent payment of 8000 sent today,1
Invoice attached for last month's services,0
Reminder about the project planning meeting,0
Kindly wire 13913 immediately I am currently in a meeting,1
Please confirm receipt of this message,0
Reminder about the project planning meeting,0
Transfer 5318 ASAP and confirm once completed,1
Reminder to review the quarterly financial report,0
Please confirm receipt of this message,0
Team lunch scheduled for Friday afternoon,0
Please update vendor bank details and send 15807,1
Let's discuss the budget updates in today's meeting,0
Kindly wire 16398 immediately I am currently in a meeting,1
Invoice attached for last month's services,0
Let's discuss the budget updates in today's meeting,0
Transfer 12041 ASAP and confirm once completed,1
Kindly wire 24322 immediately I am currently in a meeting,1
Invoice attached for last month's services,0
Please update vendor bank details and send 21299,1
Invoice attached for last month's services,0
Please schedule the team meeting for tomorrow,0
Reminder about the project planning meeting,0
This is the CEO. Process a transfer of 3649 immediately,1
This is the CEO. Process a transfer of 15557 immediately,1
Please schedule the team meeting for tomorrow,0
Please transfer 30112 to the updated vendor account,1
I need an urgent payment of 13418 sent today,1
Transfer 10907 ASAP and confirm once completed,1
Please schedule the team meeting for tomorrow,0
Let's discuss the budget updates in today's meeting,0
I need an urgent payment of 6549 sent today,1
Please update vendor bank details and send 6158,1
Reminder to review the quarterly financial report,0
Confidential request: wire 41606 to the supplier today,1
Let's discuss the budget updates in today's meeting,0
Invoice attached for last month's services,0
Please schedule the team meeting for tomorrow,0
Hi finance team please urgently wire 43999 to the vendor account today,1
Team lunch scheduled for Friday afternoon,0
This is the CEO. Process a transfer of 25895 immediately,1
Please review the attached document,0
Kindly wire 26190 immediately I am currently in a meeting,1
Kindly wire 4175 immediately I am currently in a meeting,1
Please review the attached document,0
Confidential request: wire 45019 to the supplier today,1
Please review the attached document,0
Please confirm receipt of this message,0
Hi finance team please urgently wire 4975 to the vendor account today,1
Reminder about the project planning meeting,0
This is the CEO. Process a transfer of 13985 immediately,1
Invoice attached for last month's services,0
Team lunch scheduled for Friday afternoon,0
Team lunch scheduled for Friday afternoon,0
Invoice attached for last month's services,0
Transfer 31735 ASAP and confirm once completed,1
Please transfer 45860 to the updated vendor account,1
Transfer 10577 ASAP and confirm once completed,1
Please review the attached document,0
Transfer 36373 ASAP and confirm once completed,1
Transfer 31115 ASAP and confirm once completed,1
Reminder to review the quarterly financial report,0
Confidential request: wire 46113 to the supplier today,1
Please confirm receipt of this message,0
Confidential request: wire 33906 to the supplier today,1
Transfer 22483 ASAP and confirm once completed,1
Hi finance team please urgently wire 14918 to the vendor account today,1
Please schedule the team meeting for tomorrow,0
Transfer 36781 ASAP and confirm once completed,1
Please schedule the team meeting for tomorrow,0
Please schedule the team meeting for tomorrow,0
This is the CEO. Process a transfer of 42141 immediately,1
Reminder to review the quarterly financial report,0
Hi finance team please urgently wire 19703 to the vendor account today,1
Kindly wire 39318 immediately I am currently in a meeting,1
Reminder about the project planning meeting,0
Invoice attached for last month's services,0
Please transfer 48387 to the updated vendor account,1
Invoice attached for last month's services,0
Please update vendor bank details and send 42437,1
Invoice attached for last month's services,0
I need an urgent payment of 26327 sent today,1
Kindly wire 1029 immediately I am currently in a meeting,1
Kindly wire 29229 immediately I am currently in a meeting,1
Please transfer 23933 to the updated vendor account,1
Please schedule the team meeting for tomorrow,0
Let's discuss the budget updates in today's meeting,0
Kindly wire 31925 immediately I am currently in a meeting,1
Reminder about the project planning meeting,0
Transfer 34495 ASAP and confirm once completed,1
This is the CEO. Process a transfer of 14127 immediately,1
This is the CEO. Process a transfer of 19230 immediately,1
Confidential request: wire 12111 to the supplier today,1
Please transfer 46984 to the updated vendor account,1
Confidential request: wire 18261 to the supplier today,1
Please update vendor bank details and send 44626,1
Invoice attached for last month's services,0
Team lunch scheduled for Friday afternoon,0
Confidential request: wire 38476 to the supplier today,1
Please update vendor bank details and send 1572,1
Reminder to review the quarterly financial report,0
Invoice attached for last month's services,0
Please transfer 12150 to the updated vendor account,1
Please review the attached document,0
Please transfer 27031 to the updated vendor account,1
Transfer 15489 ASAP and confirm once completed,1
Reminder about the project planning meeting,0
Please update vendor bank details and send 23038,1
Please schedule the team meeting for tomorrow,0
Please schedule the team meeting for tomorrow,0
Kindly wire 13731 immediately I am currently in a meeting,1
Reminder about the project planning meeting,0
Please transfer 47962 to the updated vendor account,1
This is the CEO. Process a transfer of 39240 immediately,1
Kindly wire 4751 immediately I am currently in a meeting,1
I need an urgent payment of 11393 sent today,1
Kindly wire 18002 immediately I am currently in a meeting,1
Please review the attached document,0
Transfer 8259 ASAP and confirm once completed,1
Please confirm receipt of this message,0
Team lunch scheduled for Friday afternoon,0
Hi finance team please urgently wire 11491 to the vendor account today,1
Reminder to review the quarterly financial report,0
Kindly wire 24500 immediately I am currently in a meeting,1
This is the CEO. Process a transfer of 41306 immediately,1
Please transfer 45214 to the updated vendor account,1
This is the CEO. Process a transfer of 10958 immediately,1
Please review the attached document,0
Reminder about the project planning meeting,0
Team lunch scheduled for Friday afternoon,0
Please confirm receipt of this message,0
Invoice attached for last month's services,0
Please review the attached document,0
Hi finance team please urgently wire 24054 to the vendor account today,1
Please transfer 15629 to the updated vendor account,1
Kindly wire 39704 immediately I am currently in a meeting,1
Please schedule the team meeting for tomorrow,0
Invoice attached for last month's services,0
Please review the attached document,0
Transfer 11260 ASAP and confirm once completed,1
Hi finance team please urgently wire 40335 to the vendor account today,1
Please confirm receipt of this message,0
Invoice attached for last month's services,0
I need an urgent payment of 48729 sent today,1
Transfer 8794 ASAP and confirm once completed,1
Please review the attached document,0
Please confirm receipt of this message,0
Kindly wire 2605 immediately I am currently in a meeting,1
Kindly wire 19305 immediately I am currently in a meeting,1
Reminder about the project planning meeting,0
Let's discuss the budget updates in today's meeting,0
This is the CEO. Process a transfer of 23663 immediately,1
This is the CEO. Process a transfer of 7077 immediately,1
Please update vendor bank details and send 20529,1
This is the CEO. Process a transfer of 46151 immediately,1
Hi finance team please urgently wire 29462 to the vendor account today,1
Reminder to review the quarterly financial report,0
Please schedule the team meeting for tomorrow,0
Confidential request: wire 3069 to the supplier today,1
Please update vendor bank details and send 40813,1
Please review the attached document,0
Confidential request: wire 21858 to the supplier today,1
Please confirm receipt of this message,0
Kindly wire 5613 immediately I am currently in a meeting,1
This is the CEO. Process a transfer of 6080 immediately,1
Please confirm receipt of this message,0
Let's discuss the budget updates in today's meeting,0
Transfer 41863 ASAP and confirm once completed,1
Invoice attached for last month's services,0
Reminder to review the quarterly financial report,0
Please schedule the team meeting for tomorrow,0
Let's discuss the budget updates in today's meeting,0
Reminder about the project planning meeting,0
Reminder about the project planning meeting,0
Team lunch scheduled for Friday afternoon,0
Invoice attached for last month's services,0
Please schedule the team meeting for tomorrow,0
Hi finance team please urgently wire 24894 to the vendor account today,1
Team lunch scheduled for Friday afternoon,0
Kindly wire 45432 immediately I am currently in a meeting,1
Team lunch scheduled for Friday afternoon,0
I need an urgent payment of 27407 sent today,1
I need an urgent payment of 5230 sent today,1
Please confirm receipt of this message,0
Team lunch scheduled for Friday afternoon,0
Hi finance team please urgently wire 3558 to the vendor account today,1
Please review the attached document,0
Let's discuss the budget updates in today's meeting,0
Please schedule the team meeting for tomorrow,0
Please transfer 12091 to the updated vendor account,1
Invoice attached for last month's services,0
Team lunch scheduled for Friday afternoon,0
Please transfer 23117 to the updated vendor account,1
Hi finance team please urgently wire 21513 to the vendor account today,1
Reminder about the project planning meeting,0
This is the CEO. Process a transfer of 5203 immediately,1
Please schedule the team meeting for tomorrow,0
Hi finance team please urgently wire 5103 to the vendor account today,1
Please transfer 14485 to the updated vendor account,1
